campaign_id,date,campaign_name,channel,city,audience_segment,objective,spend_aud,impressions,clicks,leads,conversions,revenue_aud,customer_rating
CMP-0289,2025-01-01,Festival Push - Influencer,Influencer,Bangalore,Corporate Buyers,Ticket Sales,635.94,14296,478,85,6,1744.69,4.39
CMP-0470,2025-01-01,Summer Launch - Email,Email,Mumbai,Families,Awareness,397.78,4875,443,73,10,1401.19,4.25
CMP-0227,2025-01-02,Corporate Outreach - Meta Ads,Meta Ads,Mumbai,Corporate Buyers,Sponsorship,751.35,21514,630,129,7,1421.22,4.63
CMP-0201,2025-01-03,Corporate Outreach - Google Search,Google Search,Melbourne,Families,Lead Generation,1574.71,47698,2145,348,50,9835.97,3.89
CMP-0331,2025-01-03,Summer Launch - Google Search,Google Search,Brisbane,Music Enthusiasts,Ticket Sales,922.29,15101,850,150,11,3384.19,3.55
CMP-0415,2025-01-03,VIP Upgrade - LinkedIn Ads,LinkedIn Ads,Sydney,Music Enthusiasts,Ticket Sales,916.41,17130,233,39,5,1058.71,4.06
CMP-0325,2025-01-04,Festival Push - Meta Ads,Meta Ads,Bangalore,Students,Lead Generation,931.0,20843,548,93,9,1566.0,4.15
CMP-0034,2025-01-05,Weekend Boost - Google Search,Google Search,Bangalore,Corporate Buyers,Ticket Sales,1708.34,23218,935,115,26,9361.38,4.38
CMP-0252,2025-01-05,Corporate Outreach - Meta Ads,Meta Ads,Melbourne,Corporate Buyers,Lead Generation,364.57,5363,130,19,2,529.13,4.51
CMP-0193,2025-01-07,Weekend Boost - Meta Ads,Meta Ads,Sydney,Music Enthusiasts,Sponsorship,1145.95,27873,712,116,16,3895.03,4.05
CMP-0371,2025-01-07,Weekend Boost - Google Search,Google Search,Melbourne,Premium Experience Seekers,Awareness,1016.07,23999,1509,308,22,10024.23,4.63
CMP-0174,2025-01-08,Festival Push - Meta Ads,Meta Ads,Brisbane,Corporate Buyers,Ticket Sales,1034.44,17514,404,53,6,1665.85,4.28
CMP-0241,2025-01-08,Festival Push - Meta Ads,Meta Ads,Bangalore,Music Enthusiasts,Awareness,1185.74,25571,641,79,7,1858.8,3.78
CMP-0509,2025-01-08,Early Bird - Meta Ads,Meta Ads,Melbourne,Students,Ticket Sales,1092.61,19797,400,81,9,1271.91,4.07
CMP-0074,2025-01-09,VIP Upgrade - Google Search,Google Search,Melbourne,Music Enthusiasts,Sponsorship,1916.77,38608,2641,466,101,31012.14,5.0
CMP-0169,2025-01-09,Last Mile Sales - Email,Email,Sydney,Premium Experience Seekers,Sponsorship,385.63,5060,431,64,28,4891.32,4.76
CMP-0237,2025-01-10,Summer Launch - Influencer,Influencer,Mumbai,Families,Lead Generation,1012.41,21102,633,122,2,403.14,4.16
CMP-0273,2025-01-10,VIP Upgrade - Retargeting,Retargeting,Melbourne,Music Enthusiasts,Awareness,911.43,24119,1952,370,71,14407.2,4.15
CMP-0506,2025-01-10,Weekend Boost - Email,Email,Melbourne,Premium Experience Seekers,Retargeting,331.87,5990,714,125,35,11000.88,4.4
CMP-0118,2025-01-14,Early Bird - Email,Email,Sydney,Students,Ticket Sales,272.81,4329,563,107,20,3448.32,4.16
CMP-0213,2025-01-14,Summer Launch - Email,Email,Melbourne,Premium Experience Seekers,Lead Generation,329.18,6264,476,69,17,5149.74,4.15
CMP-0246,2025-01-14,Festival Push - Meta Ads,Meta Ads,Brisbane,Corporate Buyers,Retargeting,1453.65,17934,508,66,6,1368.15,4.05
CMP-0398,2025-01-15,VIP Upgrade - Google Search,Google Search,Melbourne,Young Professionals,Ticket Sales,1355.25,21106,1233,267,43,6740.03,3.86
CMP-0220,2025-01-16,VIP Upgrade - Email,Email,Bangalore,Music Enthusiasts,Ticket Sales,472.93,9867,1039,191,42,8546.6,4.7
CMP-0344,2025-01-16,Weekend Boost - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Retargeting,677.71,15359,415,87,10,1805.31,3.7
CMP-0195,2025-01-17,Student Offer - Email,Email,Delhi,Families,Retargeting,333.52,7443,954,180,43,5166.99,3.75
CMP-0307,2025-01-17,Corporate Outreach - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Awareness,1691.44,32181,717,145,6,3315.37,4.78
CMP-0062,2025-01-19,Summer Launch - LinkedIn Ads,LinkedIn Ads,Brisbane,Families,Lead Generation,597.55,11814,196,28,1,363.81,4.12
CMP-0107,2025-01-19,Summer Launch - Retargeting,Retargeting,Mumbai,Music Enthusiasts,Awareness,251.64,3829,336,59,12,3111.61,4.47
CMP-0242,2025-01-20,Weekend Boost - Retargeting,Retargeting,Sydney,Students,Ticket Sales,547.77,7412,475,100,20,2848.66,3.56
CMP-0209,2025-01-22,Corporate Outreach - Email,Email,Sydney,Premium Experience Seekers,Retargeting,379.9,9304,849,94,46,7256.68,4.31
CMP-0425,2025-01-24,Festival Push - Meta Ads,Meta Ads,Bangalore,Young Professionals,Awareness,558.5,8625,231,48,3,682.56,3.94
CMP-0476,2025-01-24,Last Mile Sales - Influencer,Influencer,Sydney,Premium Experience Seekers,Lead Generation,960.66,14603,438,78,5,1285.45,3.96
CMP-0135,2025-01-26,Festival Push - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Sponsorship,1072.31,27950,479,100,11,5734.07,4.68
CMP-0269,2025-01-27,Student Offer - Influencer,Influencer,Delhi,Families,Awareness,760.88,15998,534,134,2,449.44,4.27
CMP-0368,2025-01-28,Festival Push - Email,Email,Melbourne,Corporate Buyers,Awareness,434.47,7224,698,85,9,2258.29,3.92
CMP-0122,2025-01-29,Corporate Outreach - Meta Ads,Meta Ads,Sydney,Families,Awareness,1072.31,17517,415,96,3,550.29,3.55
CMP-0441,2025-01-29,Early Bird - Meta Ads,Meta Ads,Mumbai,Young Professionals,Retargeting,259.93,5073,132,27,1,250.87,4.49
CMP-0019,2025-01-31,Student Offer - Email,Email,Melbourne,Premium Experience Seekers,Ticket Sales,322.74,5829,504,108,26,8362.0,4.15
CMP-0324,2025-02-01,Corporate Outreach - Google Search,Google Search,Delhi,Families,Retargeting,1698.98,28612,1300,226,28,4507.7,4.18
CMP-0073,2025-02-02,VIP Upgrade - Influencer,Influencer,Mumbai,Families,Ticket Sales,191.22,4127,163,22,1,157.69,3.89
CMP-0194,2025-02-03,Summer Launch - Influencer,Influencer,Mumbai,Corporate Buyers,Ticket Sales,575.63,11544,358,63,3,568.3,4.23
CMP-0466,2025-02-03,Early Bird - Influencer,Influencer,Sydney,Premium Experience Seekers,Sponsorship,550.93,8740,294,51,4,1474.25,4.47
CMP-0475,2025-02-03,Early Bird - Meta Ads,Meta Ads,Bangalore,Corporate Buyers,Awareness,1118.71,25852,859,138,12,3865.45,3.62
CMP-0011,2025-02-04,Corporate Outreach - Influencer,Influencer,Sydney,Young Professionals,Ticket Sales,542.2,11232,361,82,5,1223.03,4.71
CMP-0025,2025-02-04,Weekend Boost - Google Search,Google Search,Sydney,Premium Experience Seekers,Awareness,1341.96,29416,1049,222,21,5521.11,4.03
CMP-0184,2025-02-04,VIP Upgrade - Sponsorship,Sponsorship,Sydney,Families,Retargeting,2076.66,43665,543,84,13,5050.85,4.02
CMP-0253,2025-02-04,Last Mile Sales - Sponsorship,Sponsorship,Mumbai,Families,Awareness,1507.51,27755,469,70,5,2027.19,3.97
CMP-0352,2025-02-04,Corporate Outreach - Email,Email,Sydney,Young Professionals,Retargeting,381.55,10260,972,171,62,14212.31,4.09
CMP-0099,2025-02-06,VIP Upgrade - Google Search,Google Search,Melbourne,Students,Sponsorship,1155.45,31295,1598,273,28,4518.58,4.11
CMP-0488,2025-02-08,Summer Launch - Sponsorship,Sponsorship,Mumbai,Premium Experience Seekers,Ticket Sales,1214.85,17769,413,110,8,3703.5,3.93
CMP-0054,2025-02-09,Early Bird - Google Search,Google Search,Sydney,Premium Experience Seekers,Awareness,1332.35,19059,1070,162,13,5232.95,4.28
CMP-0302,2025-02-10,Student Offer - Sponsorship,Sponsorship,Brisbane,Music Enthusiasts,Retargeting,1468.88,29753,499,109,7,3388.97,4.54
CMP-0067,2025-02-11,Early Bird - Meta Ads,Meta Ads,Delhi,Students,Sponsorship,1322.91,29820,912,184,17,1566.95,4.23
CMP-0191,2025-02-12,Summer Launch - Meta Ads,Meta Ads,Bangalore,Families,Awareness,1562.04,32705,586,84,3,501.4,4.16
CMP-0505,2025-02-12,Student Offer - Meta Ads,Meta Ads,Melbourne,Music Enthusiasts,Awareness,740.62,15519,355,61,4,214.67,5.0
CMP-0037,2025-02-13,Student Offer - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Retargeting,1892.22,47893,851,193,19,8270.63,3.99
CMP-0271,2025-02-13,Early Bird - Google Search,Google Search,Mumbai,Corporate Buyers,Retargeting,1303.93,31134,1979,310,78,21189.83,4.84
CMP-0082,2025-02-15,Early Bird - Email,Email,Sydney,Young Professionals,Awareness,360.17,8882,1059,202,31,4375.56,4.17
CMP-0204,2025-02-18,Weekend Boost - Google Search,Google Search,Mumbai,Corporate Buyers,Ticket Sales,1599.89,26224,982,185,29,8491.14,4.23
CMP-0283,2025-02-18,VIP Upgrade - Retargeting,Retargeting,Delhi,Premium Experience Seekers,Ticket Sales,567.29,9270,650,131,18,4722.35,4.73
CMP-0026,2025-02-19,Corporate Outreach - Sponsorship,Sponsorship,Bangalore,Premium Experience Seekers,Sponsorship,1347.7,27776,632,56,14,9499.92,4.3
CMP-0031,2025-02-20,VIP Upgrade - Sponsorship,Sponsorship,Delhi,Families,Ticket Sales,1689.91,23107,526,101,11,3981.98,4.48
CMP-0078,2025-02-20,VIP Upgrade - Retargeting,Retargeting,Mumbai,Corporate Buyers,Awareness,917.04,16758,654,78,14,3373.92,4.06
CMP-0287,2025-02-20,Corporate Outreach - Google Search,Google Search,Brisbane,Corporate Buyers,Sponsorship,1135.81,21909,1061,119,21,8352.03,3.46
CMP-0448,2025-02-20,Last Mile Sales - Google Search,Google Search,Brisbane,Corporate Buyers,Ticket Sales,1262.8,21131,1274,212,30,11168.11,4.13
CMP-0171,2025-02-21,VIP Upgrade - Meta Ads,Meta Ads,Melbourne,Corporate Buyers,Sponsorship,492.56,8562,240,34,6,1093.84,4.1
CMP-0172,2025-02-21,Early Bird - Google Search,Google Search,Mumbai,Young Professionals,Ticket Sales,1167.35,19917,1126,212,33,7904.89,4.48
CMP-0018,2025-02-22,VIP Upgrade - Sponsorship,Sponsorship,Mumbai,Young Professionals,Ticket Sales,1587.06,40676,744,150,6,2948.85,3.9
CMP-0157,2025-02-22,Festival Push - Retargeting,Retargeting,Sydney,Families,Lead Generation,678.49,14313,961,110,34,5821.3,4.15
CMP-0263,2025-02-22,VIP Upgrade - Meta Ads,Meta Ads,Sydney,Premium Experience Seekers,Awareness,1204.86,22486,743,151,12,2078.93,4.11
CMP-0515,2025-02-22,Festival Push - Google Search,Google Search,Brisbane,Families,Awareness,1149.39,29078,1637,410,25,8481.07,4.26
CMP-0040,2025-02-24,Festival Push - Influencer,Influencer,Bangalore,Corporate Buyers,Retargeting,732.09,15663,656,165,10,2913.17,4.58
CMP-0225,2025-02-24,Last Mile Sales - Retargeting,Retargeting,Melbourne,Families,Ticket Sales,763.68,9745,750,194,45,10993.76,4.26
CMP-0319,2025-02-24,Weekend Boost - LinkedIn Ads,LinkedIn Ads,Bangalore,Families,Retargeting,1154.32,24182,256,32,6,1905.37,3.97
CMP-0501,2025-02-24,Early Bird - Meta Ads,Meta Ads,Sydney,Families,Ticket Sales,1025.75,17245,538,37,11,2867.16,3.67
CMP-0351,2025-02-25,Student Offer - Google Search,Google Search,Delhi,Families,Awareness,1563.33,32975,2405,553,36,7382.61,4.36
CMP-0023,2025-02-26,Last Mile Sales - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Awareness,943.28,13677,353,60,4,922.42,4.37
CMP-0041,2025-02-26,Corporate Outreach - LinkedIn Ads,LinkedIn Ads,Bangalore,Corporate Buyers,Ticket Sales,466.13,5457,61,10,0,0.0,4.59
CMP-0230,2025-02-26,Early Bird - Meta Ads,Meta Ads,Delhi,Corporate Buyers,Retargeting,828.52,16056,539,124,7,1719.1,4.23
CMP-0376,2025-02-26,Weekend Boost - Sponsorship,Sponsorship,Mumbai,Music Enthusiasts,Lead Generation,2137.08,36636,578,101,9,4335.57,3.65
CMP-0335,2025-02-27,Weekend Boost - Sponsorship,Sponsorship,Mumbai,Families,Sponsorship,1839.28,45849,815,140,15,5860.49,4.5
CMP-0340,2025-02-27,Corporate Outreach - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Ticket Sales,671.8,14294,295,56,5,1719.97,4.31
CMP-0516,2025-02-27,Last Mile Sales - Email,Email,Melbourne,Corporate Buyers,Awareness,262.02,6583,731,160,17,3941.79,4.18
CMP-0405,2025-02-28,Weekend Boost - Sponsorship,Sponsorship,Melbourne,Students,Ticket Sales,1226.37,32665,290,42,10,4262.34,3.81
CMP-0063,2025-03-01,Summer Launch - Meta Ads,Meta Ads,Melbourne,Young Professionals,Retargeting,922.19,13958,270,55,5,774.32,4.17
CMP-0066,2025-03-01,VIP Upgrade - Google Search,Google Search,Delhi,Young Professionals,Ticket Sales,1119.9,18397,958,162,19,7293.38,4.82
CMP-0216,2025-03-01,Early Bird - Meta Ads,Meta Ads,Brisbane,Families,Lead Generation,1342.9,30413,823,134,8,1428.04,4.4
CMP-0392,2025-03-01,Student Offer - Email,Email,Sydney,Young Professionals,Retargeting,537.43,8992,871,133,58,13100.71,3.96
CMP-0461,2025-03-01,Early Bird - Influencer,Influencer,Bangalore,Young Professionals,Ticket Sales,1074.59,24866,596,117,6,915.49,4.28
CMP-0265,2025-03-03,Last Mile Sales - LinkedIn Ads,LinkedIn Ads,Brisbane,Music Enthusiasts,Retargeting,359.08,5421,96,18,0,0.0,4.2
CMP-0277,2025-03-03,Corporate Outreach - Influencer,Influencer,Melbourne,Young Professionals,Ticket Sales,1328.55,25170,575,89,7,1778.54,4.39
CMP-0320,2025-03-03,Last Mile Sales - Retargeting,Retargeting,Bangalore,Corporate Buyers,Ticket Sales,940.35,19001,1696,320,114,36269.97,4.42
CMP-0428,2025-03-03,Last Mile Sales - Meta Ads,Meta Ads,Bangalore,Young Professionals,Lead Generation,1237.1,27604,815,115,10,2117.56,3.98
CMP-0097,2025-03-06,Early Bird - Influencer,Influencer,Mumbai,Young Professionals,Ticket Sales,887.33,19591,487,99,4,748.61,4.66
CMP-0338,2025-03-06,Student Offer - Google Search,Google Search,Melbourne,Students,Ticket Sales,1282.03,16040,661,119,19,4148.65,3.77
CMP-0281,2025-03-07,Corporate Outreach - Influencer,Influencer,Bangalore,Families,Sponsorship,694.84,16966,566,95,10,2023.24,4.56
CMP-0326,2025-03-07,Weekend Boost - Google Search,Google Search,Melbourne,Students,Lead Generation,1405.73,30674,1675,304,49,11869.27,4.52
CMP-0420,2025-03-07,Last Mile Sales - Sponsorship,Sponsorship,Brisbane,Young Professionals,Lead Generation,1477.6,20351,279,50,5,2800.56,3.6
CMP-0362,2025-03-08,VIP Upgrade - Google Search,Google Search,Mumbai,Young Professionals,Ticket Sales,1219.11,29307,1440,248,33,10685.79,3.93
CMP-0117,2025-03-09,Festival Push - Google Search,Google Search,Melbourne,Families,Lead Generation,1556.79,32817,1833,449,51,12873.12,5.0
CMP-0270,2025-03-09,Early Bird - Influencer,Influencer,Bangalore,Music Enthusiasts,Retargeting,758.1,9930,238,51,3,552.53,4.28
CMP-0151,2025-03-10,Festival Push - Meta Ads,Meta Ads,Melbourne,Young Professionals,Awareness,798.15,22102,717,131,6,1059.21,4.23
